Year,Fire Name,# of Fires (if applicable,State,Total Acres,Avg Acres
1997,Inowak,1,AK,610000,610000
1999,Big Bar Complex ,2,CA,140948,70474
1999,Mule Butte,1,ID,138220,138220
1999,Dun Glen Complex  ,9,NV,361658,40184.22222
1999,Sadler Complex,1,NV,297000,297000
1999,Sadler Fire ,4,NV,228103,57025.75
1999,Sadler (part of Sadler Complex) ,1,NV,199288,199288
1999,Corridor Complex ,3,NV,171600,57200
1999,Battle Mountain Complex ,4,NV,156958,39239.5
1999,Jungo Complex  ,3,NV,125480,41826.66667
2000,Zitziana,1,AK,166177,166177
2000,Clear Creek Complex ,4,ID,216961,54240.25
2000,Eastern Idaho Complex ,11,ID,192450,17495.45455
2000,SCF Wilderness,1,ID,182600,182600
2000,Diamond Peak,1,ID,125000,125000
2000,Valley Complex ,30,MT,292070,9735.666667
2000,Command 24,1,WA,162500,162500
2000,Mule Dry,1,WA,110000,110000
2000,Kate's Basin Complex ,2,WY,137600,68800
2001,Survey Line,1,AK,106800,106800
2001,Lakeview Complex ,4,OR,179400,44850
2002,Geskamina Lake,1,AK,257549,257549
2002,Minchumina Group ,4,AK,312000,78000
2002,Minchumina Group,1,AK,196584,196584
2002,Rodeo/Chediski Complex  ,2,AZ,468638,234319
2002,Reindeer,1,CA,227800,227800
2002,McNally,1,CA,150696,150696
2002,Hayman,1,CO,137760,137760
2002,Blackjack Bay Complex ,3,GA,124492,41497.33333
2002,Biscuit (formerly Florence),1,OR,500068,500068
2002,Tool Box Complex ,4,OR,120085,30021.25
2003,Cedar,1,CA,273246,273246
2003,Simi Incident,1,CA,108304,108304
2003,Missouri Breaks Complex ,4,MT,130927,32731.75
2004,Taylor Highway Complex ,7,AK,1303358,186194
2004,Solstice Complex ,19,AK,812771,42777.42105
2004,Eagle Complex ,16,AK,663305,41456.5625
2004,Central Complex ,7,AK,574709,82101.28571
2004,Boundary,1,AK,538261,538261
2004,Billy Creek (part of Taylor Highway Complex),1,AK,463994,463994
2004,Pingo (part of Solstice Complex),1,AK,403993,403993
2004,Winter Trail (part of Solstice Complex),1,AK,344833,344833
2004,Chicken #1 (part of Taylor Highway Complex),1,AK,320155,320155
2004,Pingo,1,AK,285885,285885
2004,Porcupine (part of Taylor Highway Complex),1,AK,284595,284595
2004,Winter Trail,1,AK,279865,279865
2004,Edwards Creek (part of Eagle Complex),1,AK,243900,243900
2004,Preacher Creek (part of Central Complex),1,AK,243254,243254
2004,Wolf Creek,1,AK,214868,214868
2004,Bolgen (part of Central Complex),1,AK,201984,201984
2004,Camp Creek,1,AK,175815,175815
2004,Gardiner Creek (part of Taylor Highway Complex),1,AK,125643,125643
2004,Evansville,1,AK,122000,122000
2004,Deer Creek (part of Eagle Complex),1,AK,103092,103092
2004,Willow,1,AZ,119500,119500
2005,Beaver Creek,1,AK,167766,167766
2005,Chapman Creek,1,AK,162670,162670
2005,Boundary Creek,1,AK,113463,113463
2005,Sheenjek River,1,AK,107240,107240
